Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
201,Tari Eason,HOU,22,82,22,60,21.6,9.3,3.6,8.0,44.8,0.7,2.1,34.3,1.3,1.8,75.2,2.4,3.7,6.0,1.1,1.2,1.2,0.6,2.3,22.1,7.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Luke Kennard,MEM,27,59,37,22,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,0.3,2.4,2.7,1.5,0.8,0.5,0.1,1.4,15.9,0.0,0.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Precious Achiuwa,TOR,23,55,30,25,20.7,9.2,3.6,7.3,48.5,0.5,2.0,26.9,1.6,2.3,70.2,1.8,4.1,6.0,0.9,1.1,0.6,0.5,1.9,20.0,10.0,0.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Seth Curry,BKN,32,61,37,24,19.8,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.8,0.6,0.1,1.6,14.9,0.0,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Walker Kessler,UTA,21,74,34,40,23.0,9.2,4.0,5.6,72.0,0.0,0.0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.8,0.4,2.3,2.3,27.9,20.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Deni Avdija,WAS,22,76,33,43,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1.0,5.4,6.4,2.8,1.6,0.9,0.4,2.8,23.1,11.0,0.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Jalen Duren,DET,19,67,16,51,24.9,9.1,3.9,5.9,64.8,0.0,0.0,0.0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,1.4,0.7,0.9,2.7,24.7,19.0,0.0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Taurean Prince,MIN,29,54,31,23,22.1,9.1,3.3,7.0,46.7,1.4,3.6,38.1,1.2,1.4,84.4,0.3,2.2,2.4,1.6,1.3,0.5,0.3,2.3,15.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Jae'Sean Tate,HOU,27,31,7,24,21.9,9.1,3.5,7.4,48.0,0.4,1.5,28.3,1.6,2.2,72.5,1.3,2.5,3.8,2.7,1.5,0.7,0.2,3.4,19.0,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Josh Green,DAL,22,60,27,33,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,0.9,2.1,3.0,1.7,1.2,0.7,0.1,2.6,16.5,1.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
