單元,課程名稱,網址
生命的特性,生命現象概論,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/q_Kg-6KexXg
生命的特性,生命現象 代謝,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/0FPwEv7oEjY
生命的特性,從肥胖看生命現象之生長現象,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/0D7s7r78yBE
生命的特性,生命現象 感應與運動,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/1FinOPmSKt4
生命的特性,生命現象 繁殖,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/sv1x4UlI8Jw
生命的特性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-aa
生命的特性,細胞的發現與細胞學說,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/mIqMgRDhS94
生命的特性,細胞的大小(內有有趣的網站),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/imHlBhs8rHY
生命的特性,科學方法(歌),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/SI4nCB9E4lE
生命的特性,組成細胞的分子概論,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/CNB4A_0UBs4
生命的特性,組成細胞的分子 水,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/wp4YICOXnPs
生命的特性,組成細胞的分子 礦物質,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/VlbsJ95j8qk
生命的特性,組成細胞的分子 醣類,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/J09IynzUQ18
生命的特性,組成細胞的分子 脂質,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/RKkoWzVjonk
生命的特性,組成細胞的分子 蛋白質,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/eud5LzpsJsc
生命的特性,組成細胞的分子 核酸,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/OooOw48kT-k
生命的特性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-bb
生命的特性,從房間的概念看細胞,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/2pTN9RUNSJo
生命的特性,真核細胞與原核細胞的比較,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/tT_4tBYsCIg
生命的特性,真核細胞的基本構造 細胞膜與細胞壁,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/GysMfICI6e4
生命的特性,真核細胞的基本構造 細胞核,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/rxgd63cBcHc
生命的特性,真核細胞的基本構造 細胞質與胞器的簡介,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/wtQNu274FuA
生命的特性,胞器介紹 非膜狀構造：核糖體與中心粒,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/3c0l0UfE68I
生命的特性,胞器介紹 單層膜狀胞器：內質網、高基氏體、液泡,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/-IQV6frnLwo
生命的特性,胞器介紹 雙層膜狀胞器：粒腺體與葉綠體,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/kVVqOf1vOmg
生命的特性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-bc
生命的特性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-ba
生命的特性,半透膜的定義與細胞膜脂雙層的通透性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/RMqIymwUZXw
生命的特性,被動運輸 簡單擴散,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/Vtn867HUBMI
生命的特性,被動運輸 促進擴散,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/eP5P0p1lZ3g
生命的特性,主動運輸,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/2LMNOQ5K5Ik
生命的特性,滲透作用,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/gV8o5SE7ycY
生命的特性,滲透作用對細胞的影響,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/nB5yjcDaVE8
生命的特性,細胞中的化學反應,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/ktwgWCp-uEQ
生命的特性,酵素,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/uRzNiYbQ0_c
生命的特性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-ca
生命的特性,ATP的結構與功能,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/frdHHz_IajM
生命的特性,ATP的水解與合成,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/r9Ilu28iqJ8
生命的特性,光合作用的場所-葉綠體,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/hb2QaqlHInI
生命的特性,光合作用-光反應與碳反應,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/Ik1Q4I15jrg
生命的特性,NADPH-光反應與暗反應之間的橋梁,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/GwZVydO1P2Q
